,Nick,League Points,Total Games,Daily League Points,Daily Games
161,너의마음에,533,259,0,0
162,따롱이이,533,345,0,0
163,어리바리개깜,533,304,0,0
164,2번죽고 시작한다,533,292,0,0
165,호호재재,533,269,0,0
156,고호동,532,345,0,0
166,아재의불꽃컨트롤,532,192,0,0
167,Big Goat,532,836,0,0
142,ING 제리,531,187,0,0
141,엉망진창 초구리,530,352,0,0
115,눈보배,529,253,0,0
140,붉렉12,529,170,0,0
116,신 하고 정훈,528,276,0,0
117,REMEMBER 140416,528,184,0,0
118,Javan,528,192,0,0
119,쉬운롤체,528,245,0,0
120,쁘띠세로로,527,498,0,0
121,IlIIlllIlIlll,526,249,0,0
122,맞아본 적이없어,526,392,0,0
123,빛이 나는 강,526,283,0,0
124,도와줘요 김요리,524,364,0,0
125,무기력한 하루,524,148,0,0
126,Lv 1 룰러,524,253,0,0
127,오목도사님,522,305,0,0
128,중수 모데카이저,522,791,0,0
129,간발의순간,521,470,0,0
130,돈쫌병갓,520,546,0,0
131,엉망진창 규한93,520,314,0,0
132,Unknight,519,515,0,0
133,o하늘빛파도o,518,375,0,0
134,술살돈,518,496,0,0
135,exploit,518,350,0,0
136,엄준식명예소방관,517,231,0,0
137,후용김,517,225,0,0
138,TOTY FGO,516,174,0,0
139,초밥집대검도둑,516,575,0,0
168,포챠이드,515,470,0,0
169,아니이건십오바지,514,194,0,0
170,뭔가 어렵네,514,282,0,0
198,10분 뒤에 깨워줘,514,202,0,0
200,pengu pengoo,513,217,0,0
201,뚜석이,512,425,0,0
202,TFT Lie,511,291,0,0
203,지하닝보고강등,511,206,0,0
204,나 김민수 아니다,511,222,0,0
205,마키무라 마코토,510,371,0,0
206,조 득,510,586,0,0
207,아무나친추해줘많이외로워붙잡아줘,509,308,0,0
208,Ori110,509,267,0,0
209,바딸초,506,166,0,0
210,여 심,505,393,0,0
199,what do i do,504,133,0,0
211,3성 문다은,504,263,0,0
213,승진오빠,504,204,0,0
214,MogiFkiller,503,461,0,0
215,아해봐요,503,184,0,0
216,LONEYDIVER,500,175,0,0
217,진상현,500,212,0,0
218,수감번호703,499,523,0,0
219,춘봉바라기,499,162,0,0
220,천상이당,498,283,0,0
221,나도사기치고싶다,497,190,0,0
222,그래너오보작,497,164,0,0
212,고동민,495,403,0,0
223,SKT T1 CHOY,495,235,0,0
197,ASAPASAPASAPASAP,494,552,0,0
172,proooa,493,175,0,0
173,추 억 ,493,365,0,0
184,이사람 가가매요,493,257,0,0
196,Absolute 찬,493,398,0,0
174,김도칠,492,436,0,0
175,배부른박승호,491,509,0,0
176,조각상준,491,755,0,0
177,무 오,490,382,0,0
178,푸리에방정식2,488,360,0,0
179,golrazo,487,224,0,0
180,유형검,487,218,0,0
181,서먹서먹,487,131,0,0
182,감기 바이러스,486,458,0,0
171,나코틴중독,485,307,0,0
183,내카드,485,237,0,0
185,시근이쳐,484,319,0,0
186,Lideer,483,246,0,0
187,pRo4s,483,299,0,0
188,맨도르장군,483,253,0,0
189,잔다하면,482,92,0,0
190,배고파송송계란탁,482,225,0,0
191,설남훈,482,442,0,0
192,ryu5601,479,158,0,0
193,jon1996 ,478,98,0,0
194,왱 알,477,462,0,0
112,Hurry,476,187,0,0
114,이상근유튜브구독,476,342,0,0
195,이건오바지,476,186,0,0
1,타튜브 보고배움,475,161,0,0
111,강남교자,475,524,0,0
31,저 곳,474,231,0,0
32,E정택,474,421,0,0
33,조끼먹으러갑니다,474,372,0,0
34,포도팔이,474,190,0,0
35,내별친구,474,373,0,0
36,꼬마펭귄펭구,473,267,0,0
37,findu,473,226,0,0
38,말랑이3성미트볼,472,216,0,0
39,여심도둑 김찬호,472,746,0,0
30,나랑듀오해두호,470,396,0,0
40,짭납1,470,241,0,0
41,보들보들라떼,470,623,0,0
42,꼬마펭구리,470,821,0,0
44,겅진이,470,112,0,0
45,최고다블랙맨,469,304,0,0
46,박인수가만든괴물,469,264,0,0
47,YanG Uyo,469,275,0,0
48,팝스타 여리,469,228,0,0
49,원딜주노,468,266,0,0
50,DALMORE 15YEARS,468,352,0,0
51,밍쪼구리,466,277,0,0
52,Icy silence,466,334,0,0
53,배후성,466,237,0,0
54,잼수용,464,175,0,0
43,하스 천재,463,218,0,0
27,경멸받는 쾌락 ,462,402,0,0
28,초보볼,462,197,0,0
29,이재명찍고죽자,462,466,0,0
2,스벙이,461,242,0,0
3,PDN1,461,197,0,0
4,모 비,460,259,0,0
5,염연습후아이디,460,118,0,0
6,KissWood,460,149,0,0
7,HooDBoY,459,219,0,0
8,대부분깨달았다,459,369,0,0
9,대가리깬 양양이,458,597,0,0
10,운 건,458,318,0,0
11,게멍멍,457,587,0,0
12,essen Y,456,480,0,0
13,꿈나라역0번출구,456,195,0,0
14,사일럿트,455,495,0,0
15,LordKim,455,299,0,0
16,Shoichi,455,144,0,0
17,JlSUNG,455,489,0,0
18,운으로게임하는사람,455,164,0,0
19,블고수,454,220,0,0
20,내가오거마법사다,454,232,0,0
21,블루안머거요,454,169,0,0
22,LeeBin,454,179,0,0
23,바지락털국수,454,369,0,0
24,협곡노가다목장갑,453,329,0,0
25,x지존x원딜x베르x,452,431,0,0
